**harm,**harte,**harm_2,**harte_2,**kern,**silbe,**stress,**timestamp,**duration
Ib,G:maj/3,Ib,G:maj/3,c,merc-,1,.,1
vi,E:min,vi,E:min,B,I,0,28.829,1
Ib,G:maj/3,Ib,G:maj/3,G,bott-,1,.,1
I,G:maj,I,G:maj,d,hand,1,35.182,1
Ib,G:maj/3,Ib,G:maj/3,d,of,0,.,1
vi,E:min,vi,E:min,B,-tio-,1,45.710,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
IV,C:maj,IV,C:maj,B,all,0,60.375,1
V,D:maj,V,D:maj,e,ev-,1,.,1
V,D:maj,V,D:maj,B,-mpti-,1,.,1
V,D:maj,V,D:maj,B,-mpti-,1,.,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
I,G:maj,I,G:maj,d,-e,2,75.061,1
Ib,G:maj/3,Ib,G:maj/3,c,free,1,.,1
I,G:maj,I,G:maj,B,fear,1,83.365,1
vi,E:min,vi,E:min,B,-er-,0,85.389,1
IV,C:maj,IV,C:maj,G,them,0,87.418,1
Ib,G:maj/3,Ib,G:maj/3,G,stop,1,.,1
V,D:maj,V,D:maj,G,_,.,89.565,1
vi,E:min,vi,E:min,d,-hets,0,93.663,1
IV,C:maj,IV,C:maj,e,stand,1,95.717,1
I,G:maj,I,G:maj,B,say,1,99.821,1
vi,E:min,vi,E:min,B,of,0,101.831,1
Ib,G:maj/3,Ib,G:maj/3,G,-ill,1,.,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
IV,C:maj,IV,C:maj,B,all,0,115.949,1
V,D:maj,V,D:maj,e,ev-,1,.,1
V,D:maj,V,D:maj,B,-mpti-,1,.,1
V,D:maj,V,D:maj,B,-mpti-,1,.,1
V,D:maj,V,D:maj,B,-mpti-,1,.,1
*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
I,G:maj,I,G:maj,e,-pat-,0,150.921,1
vi,E:min,vi,E:min,c,-tal,0,153.025,1
Ib,G:maj/3,Ib,G:maj/3,c,free,1,.,1
I,G:maj,I,G:maj,d,no,0,159.224,1
vi,E:min,vi,E:min,B,-er-,0,161.321,1
IV,C:maj,IV,C:maj,G,them,0,163.36,1
Ib,G:maj/3,Ib,G:maj/3,G,stop,1,.,1
V,D:maj,V,D:maj,A,_,.,165.418,1
vi,E:min,vi,E:min,d,-hets,0,169.413,1
IV,C:maj,IV,C:maj,e,stand,1,171.449,1
I,G:maj,I,G:maj,B,say,1,175.424,1
Ib,G:maj/3,Ib,G:maj/3,G,-ill,1,.,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
IV,C:maj,IV,C:maj,B,all,0,191.346,1
V,D:maj,V,D:maj,e,ev-,1,.,1
V,D:maj,V,D:maj,B,-mpti-,1,.,1
IV,C:maj,IV,C:maj,B,all,0,199.449,1
V,D:maj,V,D:maj,e,ev-,1,.,1
V,D:maj,V,D:maj,B,-mpti-,1,.,1
V,D:maj,V,D:maj,B,songs,1,.,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
vi,G#:min,vi,G#:min,G#,,,.,1
V,F#:maj,V,F#:maj,G#,,,11.157,1
I,B:maj,I,B:maj,E,,,16.476,1
vi,G#:min,vi,G#:min,B,,,.,1
IV,E:maj,IV,E:maj,A#,,,.,1
I,B:maj,I,B:maj,D#,,,30.862,1
V,F#:maj,V,F#:maj,G#,,,41.364,1
I,B:maj,I,B:maj,E,,,46.724,1
vi,G#:min,vi,G#:min,B,,,.,1
I,B:maj,I,B:maj,BB,,,59.839,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
I,B:maj,I,B:maj,B,,,72.830,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
I,B:maj,I,B:maj,B,,,141.529,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
vi,G#:min,vi,G#:min,G#,,,.,1
I,B:maj,I,B:maj,E,,,156.952,1
vi,G#:min,vi,G#:min,G#,,,162.006,1
vi,G#:min,vi,G#:min,G#,,,.,1
I,B:maj,I,B:maj,E,,,183.867,1
V,F#:maj,V,F#:maj,B,,,189.008,1
IV,E:maj,IV,E:maj,A#,,,.,1
V,F#:maj,V,F#:maj,F#,,,194.135,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
vi,G#:min,vi,G#:min,B,,,209.552,1
vi,G#:min,vi,G#:min,B,,,219.788,1
vi,G#:min,vi,G#:min,B,,,229.897,1
vi,G#:min,vi,G#:min,B,,,240.038,1
